date,product_id,category,price,discount_pct,competitor_price,units_sold,revenue,cost,inventory_level,season,day_of_week
2023-01-01,P001,Electronics,249.81604753894499,20,233.9994336221509,70,17487.12332772615,179.10652712184145,70,Winter,Sunday
2023-01-01,P002,Electronics,162.39780813448107,10,161.07423000972216,119,19325.339168003247,105.56771693137549,409,Winter,Sunday
2023-01-01,P003,Clothing,108.23379771832097,5,113.0393517605696,111,12013.951546733628,80.17774723933151,435,Winter,Sunday
2023-01-01,P004,Clothing,173.36180394137352,15,177.23308260497433,98,16989.456786254606,104.2008364778377,394,Winter,Sunday
2023-01-01,P005,Groceries,344.74115788895176,5,313.4845570540401,35,12065.940526113312,257.1987354932953,320,Winter,Sunday
2023-01-02,P001,Electronics,414.07038455720544,10,404.33658286198664,3,1242.2111536716163,309.5112493835041,180,Winter,Monday
2023-01-02,P002,Electronics,372.1230154351119,0,339.75215287970866,18,6698.214277832014,276.2391313748886,365,Winter,Monday
2023-01-02,P003,Clothing,254.16660101596645,5,233.71493876057914,64,16266.662465021853,178.58633800729925,416,Winter,Monday
2023-01-02,P004,Clothing,343.99866311304834,10,372.1597973330476,21,7223.971925374015,219.75219302445277,409,Winter,Monday
2023-01-02,P005,Groceries,270.06234979649787,5,273.7190117191099,54,14583.366889010886,163.30589107896068,451,Winter,Monday
2023-01-03,P001,Electronics,475.7995766256756,15,485.11573031967106,0,0.0,351.273851584323,264,Winter,Tuesday
2023-01-03,P002,Electronics,484.46880973973964,20,473.6823335475119,0,0.0,310.4003072109733,102,Winter,Tuesday
2023-01-03,P003,Clothing,486.1021229056552,15,490.2530542382515,0,0.0,301.93680848275307,64,Winter,Tuesday
2023-01-03,P004,Clothing,106.25456269647758,0,112.04001247808154,112,11900.511022005488,66.91990479423845,112,Winter,Tuesday
2023-01-03,P005,Groceries,382.74293753904686,10,404.95546529602575,7,2679.200562773328,264.43479764024374,280,Winter,Tuesday
2023-01-04,P001,Electronics,465.98387021751233,0,477.4748578834474,0,0.0,302.71929347073257,97,Winter,Wednesday
2023-01-04,P002,Electronics,367.5365010654429,20,384.41423134731895,19,6983.193520243415,255.6707469767697,84,Winter,Wednesday
2023-01-04,P003,Clothing,147.83769837532068,10,155.54847064696435,85,12566.204361902259,101.14930838107608,304,Winter,Wednesday
2023-01-04,P004,Clothing,116.17343581537254,5,105.14669769169288,112,13011.424811321725,71.58417915454886,112,Winter,Wednesday
2023-01-04,P005,Groceries,290.1480892728447,20,290.6454432058819,53,15377.848731460768,213.58815530836915,456,Winter,Wednesday
2023-01-05,P001,Electronics,315.93643652066925,20,298.79992828618026,49,15480.885389512792,193.20997567165023,236,Winter,Thursday
2023-01-05,P002,Electronics,452.1871356061031,5,480.0527499775229,0,0.0,314.27483591445093,183,Winter,Thursday
2023-01-05,P003,Clothing,187.37617488673345,15,202.08741559761725,77,14427.965466278476,127.58468786878855,397,Winter,Thursday
2023-01-05,P004,Clothing,462.7313766183016,0,437.55278926502126,0,0.0,307.2842522202949,165,Winter,Thursday
2023-01-05,P005,Groceries,221.91250326321162,10,218.24699705656124,64,14202.400208845544,140.54077699030756,356,Winter,Thursday
2023-01-06,P001,Electronics,197.65020889910966,10,190.6614134153401,77,15219.066085231443,133.97098655383707,282,Winter,Friday
2023-01-06,P002,Electronics,125.95689884359263,5,137.60658427349597,107,13477.38817626441,80.331196881038,435,Winter,Friday
2023-01-06,P003,Clothing,159.23477198135996,0,151.80745757864017,72,11464.903582657917,118.86752215965573,269,Winter,Friday
2023-01-06,P004,Clothing,211.45858569464457,0,217.14053476198941,66,13956.26665584654,148.46630322584755,102,Winter,Friday
2023-01-06,P005,Groceries,494.2601816442403,15,452.8266794317661,0,0.0,323.961930776321,450,Winter,Friday
2023-01-07,P001,Electronics,247.11325308770128,15,271.005306080581,78,19274.8337408407,163.0511726601251,289,Winter,Saturday
2023-01-07,P002,Electronics,160.28701758617177,10,150.2376149788762,105,16830.136846548037,97.15256942642311,197,Winter,Saturday
2023-01-07,P003,Clothing,188.09641902621934,5,188.5513512184534,79,14859.617103071327,119.24830805162657,401,Winter,Saturday
2023-01-07,P004,Clothing,476.2093057958416,5,508.3734448147154,0,0.0,333.991071712763,490,Winter,Saturday
2023-01-07,P005,Groceries,469.8774473114251,5,447.12989329751287,0,0.0,328.44321120937593,395,Winter,Saturday
2023-01-08,P001,Electronics,306.6543565084057,0,290.82193258479754,45,13799.446042878259,188.27516930764386,189,Winter,Sunday
2023-01-08,P002,Electronics,453.05453727573587,0,433.0178698697842,0,0.0,319.4277662533044,257,Winter,Sunday
2023-01-08,P003,Clothing,454.8345697060469,0,467.75475023869234,0,0.0,278.6412065396689,469,Winter,Sunday
2023-01-08,P004,Clothing,342.57162386383595,10,333.8211638529679,27,9249.43384432357,253.85243032302049,202,Winter,Sunday
2023-01-08,P005,Groceries,164.32322056699945,5,163.8504216984831,93,15282.05951273095,109.64690724352418,494,Winter,Sunday
2023-01-09,P001,Electronics,384.8716885390144,0,384.40166130940406,6,2309.230131234086,241.24658283047873,433,Winter,Monday
2023-01-09,P002,Electronics,388.3759697008517,0,391.6802903594631,3,1165.1279091025551,262.6672558939656,424,Winter,Monday
2023-01-09,P003,Clothing,335.94833902421755,20,335.05754868575593,39,13101.985221944484,247.2293608234163,76,Winter,Monday
2023-01-09,P004,Clothing,301.0548372420768,15,311.22591829970594,42,12644.303164167226,219.65717619313662,366,Winter,Monday
2023-01-09,P005,Groceries,328.8016796836732,0,298.78891039398616,38,12494.463827979584,246.3324895822671,207,Winter,Monday
2023-01-10,P001,Electronics,465.9457560881794,10,489.03045836835287,0,0.0,346.1794210080977,398,Winter,Tuesday
2023-01-10,P002,Electronics,486.6619276174678,10,533.4137465028282,0,0.0,297.49737969848593,302,Winter,Tuesday
2023-01-10,P003,Clothing,440.45466860674276,10,411.33997606064236,0,0.0,301.0596584944319,272,Winter,Tuesday
2023-01-10,P004,Clothing,472.00673392433276,5,482.86357101472686,0,0.0,353.3008529841383,499,Winter,Tuesday
2023-01-10,P005,Groceries,218.11623536757548,5,228.61934426741587,71,15486.252711097859,153.67430863321962,348,Winter,Tuesday
2023-01-11,P001,Electronics,321.1279907631631,5,340.99689601896023,27,8670.455750605404,231.69930746644545,458,Winter,Wednesday
2023-01-11,P002,Electronics,132.63767216009614,0,136.03039565630905,103,13661.680232489904,83.44781003933409,313,Winter,Wednesday
2023-01-11,P003,Clothing,418.31706777444043,15,450.66277819451136,0,0.0,252.72312571940483,403,Winter,Wednesday
2023-01-11,P004,Clothing,331.3120563984696,10,329.03249812712613,35,11595.921973946437,225.75494031186628,174,Winter,Wednesday
2023-01-11,P005,Groceries,444.1618473246701,0,403.0633906940194,0,0.0,321.3022760897375,103,Winter,Wednesday
2023-01-12,P001,Electronics,230.66049671841634,20,220.12129181524446,62,14300.950796541812,171.79311802949414,152,Winter,Thursday
2023-01-12,P002,Electronics,120.67268846744308,15,118.53325594765293,120,14480.72261609317,85.06541594382814,473,Winter,Thursday
2023-01-12,P003,Clothing,490.34083178501385,15,511.3857801611317,0,0.0,297.2250611207041,169,Winter,Thursday
2023-01-12,P004,Clothing,275.5885682822544,5,249.42698647058032,52,14330.60555067723,205.14737572339334,328,Winter,Thursday
2023-01-12,P005,Groceries,375.39996030614657,0,350.87090045070715,13,4880.199483979905,234.04894512505845,339,Winter,Thursday
2023-01-13,P001,Electronics,137.54931603251669,0,141.95632395206215,94,12929.635707056568,88.30529702839473,321,Winter,Friday
2023-01-13,P002,Electronics,362.8445314000667,20,370.95198376308065,24,8708.268753601602,240.54415704409755,125,Winter,Friday
2023-01-13,P003,Clothing,163.45857905699643,0,158.2893540572853,70,11442.10053398975,100.32594916269159,96,Winter,Friday
2023-01-13,P004,Clothing,442.1842336044029,15,413.4714664476966,0,0.0,266.44879546183364,481,Winter,Friday
2023-01-13,P005,Groceries,238.5217284357603,20,233.67996319984331,82,19558.781731732346,165.14708153816827,374,Winter,Friday
2023-01-14,P001,Electronics,204.3574493366856,5,209.50153160650393,88,17983.455541628333,138.03741597284582,306,Winter,Saturday
2023-01-14,P002,Electronics,373.5855077592564,5,338.20780526534185,25,9339.63769398141,256.97689485000694,389,Winter,Saturday
2023-01-14,P003,Clothing,255.26797048260877,15,236.3015783096116,92,23484.653284400007,184.22194886592752,476,Winter,Saturday
2023-01-14,P004,Clothing,254.4410551203097,0,262.1498441575407,50,12722.052756015484,160.55298106277155,334,Winter,Saturday
2023-01-14,P005,Groceries,140.31120055097065,5,127.37347327020862,99,13890.808854546094,97.198912044095,264,Winter,Saturday
2023-01-15,P001,Electronics,227.59025211750452,5,235.85695225940498,69,15703.727396107812,148.18257601677013,164,Winter,Sunday
2023-01-15,P002,Electronics,147.2659310486625,20,142.79896081842222,136,20028.1666226181,109.05001295140346,425,Winter,Sunday
2023-01-15,P003,Clothing,421.39237215393945,0,425.4353692896602,0,0.0,279.60253702998597,457,Winter,Sunday
2023-01-15,P004,Clothing,496.2020568002693,15,483.501078987698,0,0.0,355.5098902871464,201,Winter,Sunday
2023-01-15,P005,Groceries,324.74667685750944,15,320.1348861281099,39,12665.120397442868,231.4244387165664,266,Winter,Sunday
2023-01-16,P001,Electronics,251.09155447051793,0,251.35531974303603,49,12303.486169055379,181.78240616262448,391,Winter,Monday
2023-01-16,P002,Electronics,139.99395486474535,15,126.29800051670536,99,13859.40153160979,103.00857345017606,125,Winter,Monday
2023-01-16,P003,Clothing,482.72035405058256,15,489.81034672170256,0,0.0,335.3823148444903,422,Winter,Monday
2023-01-16,P004,Clothing,340.9763703604476,15,352.741313755115,30,10229.291110813429,243.06711264616507,200,Winter,Monday
2023-01-16,P005,Groceries,145.38584080697922,20,145.22359906852682,85,12357.796468593233,88.48673879231157,272,Winter,Monday
2023-01-17,P001,Electronics,394.81422271640355,20,383.0420480288164,17,6711.84178617886,243.82149209433115,125,Winter,Tuesday
2023-01-17,P002,Electronics,434.7855496949495,0,400.1003303903889,0,0.0,266.35659340643906,190,Winter,Tuesday
2023-01-17,P003,Clothing,258.66064078170075,10,269.32999010820964,48,12415.710757521636,158.35264362816702,214,Winter,Tuesday
2023-01-17,P004,Clothing,332.5221668907129,20,323.9192961783834,45,14963.497510082081,240.05438113727254,376,Winter,Tuesday
2023-01-17,P005,Groceries,401.35127410357666,15,367.9187705003335,17,6822.971659760803,287.5971001931173,231,Winter,Tuesday
2023-01-18,P001,Electronics,199.4896617721152,10,183.97724522193667,78,15560.193618224985,134.4348393785846,190,Winter,Wednesday
2023-01-18,P002,Electronics,328.58921008200423,15,303.5387461238269,44,14457.925243608186,202.94620453806127,410,Winter,Wednesday
2023-01-18,P003,Clothing,372.4157708387636,15,406.8398400188961,8,2979.3261667101087,244.3906198789723,418,Winter,Wednesday
2023-01-18,P004,Clothing,311.3480485188837,20,340.19273525584293,37,11519.877795198696,187.37646990764716,209,Winter,Wednesday
2023-01-18,P005,Groceries,229.07455531103346,20,251.6596936020381,73,16722.442537705443,139.9804704741566,276,Winter,Wednesday
2023-01-19,P001,Electronics,130.1738188359077,0,122.80101082486992,50,6508.690941795385,83.85460155416672,50,Winter,Thursday
2023-01-19,P002,Electronics,333.72572476924006,0,361.4419359966593,19,6340.788770615562,248.22698322407385,321,Winter,Thursday
2023-01-19,P003,Clothing,282.26270111428516,15,272.985294312014,52,14677.660457942828,176.54176686832727,213,Winter,Thursday
2023-01-19,P004,Clothing,241.34089121042112,5,230.04314125288292,75,18100.566840781583,157.8494356892742,277,Winter,Thursday
2023-01-19,P005,Groceries,379.26468560789806,0,362.5591007653069,10,3792.646856078981,250.9522395214555,269,Winter,Thursday
2023-01-20,P001,Electronics,153.2740500894999,10,163.16136799500688,95,14561.03475850249,113.80138197643629,305,Winter,Friday
2023-01-20,P002,Electronics,467.6706207342238,5,508.14550041813396,0,0.0,341.3572679602571,414,Winter,Friday
2023-01-20,P003,Clothing,264.50204663414763,0,263.46361592982566,50,13225.102331707381,197.79275451865394,316,Winter,Friday
2023-01-20,P004,Clothing,252.3563426524086,10,269.6235186913502,44,11103.67907670598,183.14744047066023,147,Winter,Friday
2023-01-20,P005,Groceries,153.5408475202533,20,139.91795107525968,124,19039.06509251141,112.04003949014123,246,Winter,Friday
2023-01-21,P001,Electronics,498.65473482956213,20,507.14677832208605,0,0.0,353.5053804409671,251,Winter,Saturday
2023-01-21,P002,Electronics,198.93924069727905,0,184.18429182337977,80,15915.139255782324,147.83327246076382,254,Winter,Saturday
